Entity,Code,Year,Annual CO2 emissions (zero filled)
Sweden,SWE,2020,38634794
Switzerland,CHE,2020,32298333
Syria,SYR,2020,30531928
Taiwan,TWN,2020,273174653
Tajikistan,TJK,2020,9447656
Tanzania,TZA,2020,10938632
Thailand,THA,2020,257765782
Timor,TLS,2020,525704
Togo,TGO,2020,2191571
Tonga,TON,2020,143718
Trinidad and Tobago,TTO,2020,35509414
Tunisia,TUN,2020,28126702
Turkey,TUR,2020,392794051
Turkmenistan,TKM,2020,75337709
Turks and Caicos Islands,TCA,2020,202546
Tuvalu,TUV,2020,7564
Uganda,UGA,2020,4892203
Ukraine,UKR,2020,213908873
United Arab Emirates,ARE,2020,150268152
United Kingdom,GBR,2020,329578911
United States of America,USA,2020,4712770573
Uruguay,URY,2020,5840060
Uzbekistan,UZB,2020,112784345
Vanuatu,VUT,2020,181538
Venezuela,VEN,2020,84609478
Vietnam,VNM,2020,254303169
Wallis and Futuna,WLF,2020,26474
Yemen,YEM,2020,9768313
Zambia,ZMB,2020,6572938
Zimbabwe,ZWE,2020,10531342
